PAIRS: 11130
VAN:   Max Speed=40km/h
BIKE:  Max Speed=20km/h
---------------------------------------------

NA			 NB			  VAN(s)      BIKE(s)
00001 		 02375 		  1354 		  1608
00001 		 02376 		  1456 		  1765
00001 		 02380 		  1453 		  1757
00001 		 02383 		  1481 		  1752
00001 		 02394 		  1432 		  1734
00001 		 02403 		  1389 		  1683
00001 		 02432 		  1495 		  1801
00001 		 02453 		  1436 		  1732
00001 		 02466 		  1434 		  1710
00001 		 02472 		  1410 		  1709
00001 		 02476 		  1387 		  1679
00001 		 02490 		  1433 		  1727
00001 		 02494 		  1350 		  1636
00001 		 02505 		  1303 		  1587
00001 		 02511 		  1412 		  1701
00001 		 02513 		  1398 		  1687
00001 		 02530 		  1380 		  1679
00001 		 02539 		  1372 		  1628
00001 		 02540 		  1369 		  1621
00001 		 02542 		  1363 		  1620
00001 		 02551 		  1338 		  1588
00001 		 02560 		  1333 		  1592
00001 		 02563 		  1312 		  1565
00001 		 02566 		  1466 		  1731
00001 		 02590 		  1495 		  1756
00001 		 02593 		  1391 		  1687
00001 		 02597 		  1516 		  1799
00001 		 02610 		  1501 		  1837
00001 		 02615 		  1502 		  1783
00001 		 02620 		  1353 		  1606
00001 		 05066 		  1888 		  2263
00001 		 05108 		  1925 		  2280
00001 		 05294 		  1240 		  1491
00001 		 05295 		  1727 		  2053
00001 		 05296 		  1712 		  2038
00001 		 50541 		  1434 		  1697
00001 		 50547 		  1498 		  1786
00001 		 50548 		  1769 		  2121
00001 		 50569 		  1843 		  2200
00001 		 50583 		  1652 		  1991
00001 		 99991 		  1314 		  1596
00001 		 99992 		  1660 		  2054
00001 		 99993 		  1801 		  2158
00001 		 99994 		  1412 		  1679
00002 		 00001 		  1502 		  1793
00002 		 00754 		  151 		  151
00002 		 00770 		  403 		  403
00002 		 01098 		  662 		  662
00002 		 02016 		  201 		  201
00002 		 02027 		  391 		  391
00002 		 02032 		  428 		  428
00002 		 02035 		  300 		  300
00002 		 02040 		  267 		  267
00002 		 02062 		  274 		  274
00002 		 02079 		  198 		  198
00002 		 02083 		  167 		  167
00002 		 02087 		  223 		  223
00002 		 02094 		  233 		  233
00002 		 02098 		  195 		  195
00002 		 02104 		  131 		  131
00002 		 02114 		  326 		  326
00002 		 02117 		  366 		  366
00002 		 02127 		  251 		  251
00002 		 02135 		  267 		  267
00002 		 02137 		  360 		  360
00002 		 02143 		  358 		  358
00002 		 02152 		  326 		  326
00002 		 02157 		  277 		  277
00002 		 02160 		  325 		  325
00002 		 02178 		  238 		  238
00002 		 02182 		  145 		  145
00002 		 02193 		  156 		  156
00002 		 02195 		  171 		  171
00002 		 02205 		  240 		  240
00002 		 02212 		  164 		  164
00002 		 02216 		  208 		  208
00002 		 02223 		  134 		  134
00002 		 02234 		  176 		  176
00002 		 02236 		  194 		  194
00002 		 02243 		  416 		  416
00002 		 02246 		  526 		  526
00002 		 02251 		  433 		  433
00002 		 02258 		  456 		  456
00002 		 02262 		  641 		  641
00002 		 02263 		  593 		  593
00002 		 02264 		  483 		  483
00002 		 02279 		  463 		  463
00002 		 02282 		  487 		  487
00002 		 02283 		  476 		  476
00002 		 02294 		  528 		  528
00002 		 02296 		  423 		  423
00002 		 02303 		  381 		  381
00002 		 02305 		  378 		  378
00002 		 02311 		  299 		  299
00002 		 02312 		  281 		  281
00002 		 02317 		  439 		  439
00002 		 02320 		  419 		  419
00002 		 02324 		  374 		  374
00002 		 02325 		  501 		  501
00002 		 02328 		  486 		  486
00002 		 02332 		  345 		  345
00002 		 02342 		  278 		  278
00002 		 02347 		  319 		  319
00002 		 02348 		  250 		  250
00002 		 02373 		  337 		  337
00002 		 02375 		  287 		  287
00002 		 02376 		  463 		  463
00002 		 02380 		  366 		  366
00002 		 02383 		  341 		  341
00002 		 02394 		  430 		  430
00002 		 02403 		  606 		  606
00002 		 02432 		  722 		  722
00002 		 02453 		  646 		  646
00002 		 02466 		  640 		  640
00002 		 02472 		  493 		  493
00002 		 02476 		  602 		  602
00002 		 02490 		  642 		  642
00002 		 02494 		  557 		  557
00002 		 02505 		  497 		  497
00002 		 02511 		  615 		  615
00002 		 02513 		  598 		  598
00002 		 02530 		  582 		  582
00002 		 02539 		  219 		  219
00002 		 02540 		  214 		  214
00002 		 02542 		  234 		  234
00002 		 02551 		  237 		  237
00002 		 02560 		  300 		  300
00002 		 02563 		  315 		  315
00002 		 02566 		  329 		  329
00002 		 02590 		  359 		  359
00002 		 02593 		  369 		  369
00002 		 02597 		  368 		  368
00002 		 02610 		  437 		  437
00002 		 02615 		  316 		  316
00002 		 02620 		  284 		  284
00002 		 05066 		  455 		  455
00002 		 05108 		  489 		  489
00002 		 05294 		  455 		  455
00002 		 05295 		  485 		  485
00002 		 05296 		  505 		  505
00002 		 50541 		  120 		  120
00002 		 50547 		  127 		  127
00002 		 50548 		  301 		  301
00002 		 50569 		  393 		  393
00002 		 50583 		  91 		  91
00002 		 99991 		  540 		  540
00002 		 99992 		  603 		  603
00002 		 99993 		  295 		  295
00002 		 99994 		  162 		  162
00754 		 00001 		  1575 		  1879
00754 		 00002 		  151 		  151
00754 		 00770 		  470 		  470
00754 		 01098 		  746 		  746
00754 		 02016 		  282 		  282
00754 		 02027 		  541 		  541
00754 		 02032 		  581 		  581
00754 		 02035 		  429 		  429
00754 		 02040 		  445 		  445
00754 		 02062 		  450 		  450
00754 		 02079 		  279 		  279
00754 		 02083 		  249 		  249
00754 		 02087 		  305 		  305
00754 		 02094 		  315 		  315
00754 		 02098 		  277 		  277
00754 		 02104 		  212 		  212
00754 		 02114 		  503 		  503
00754 		 02117 		  506 		  506
00754 		 02127 		  332 		  332
00754 		 02135 		  348 		  348
00754 		 02137 		  532 		  532
00754 		 02143 		  573 		  573
00754 		 02152 		  567 		  567
00754 		 02157 		  359 		  359
00754 		 02160 		  406 		  406
00754 		 02178 		  319 		  319
00754 		 02182 		  227 		  227
00754 		 02193 		  219 		  219
00754 		 02195 		  235 		  235
00754 		 02205 		  322 		  322
00754 		 02212 		  346 		  346
00754 		 02216 		  353 		  353
00754 		 02223 		  204 		  204
00754 		 02234 		  322 		  322
00754 		 02236 		  301 		  301
00754 		 02243 		  590 		  590
00754 		 02246 		  610 		  610
00754 		 02251 		  619 		  619
00754 		 02258 		  641 		  641
00754 		 02262 		  725 		  725
00754 		 02263 		  676 		  676
00754 		 02264 		  668 		  668
00754 		 02279 		  755 		  755
00754 		 02282 		  800 		  800
00754 		 02283 		  786 		  786
00754 		 02294 		  734 		  734
00754 		 02296 		  608 		  608
00754 		 02303 		  462 		  462
00754 		 02305 		  459 		  459
00754 		 02311 		  381 		  381
00754 		 02312 		  363 		  363
00754 		 02317 		  678 		  678
00754 		 02320 		  657 		  657
00754 		 02324 		  456 		  456
00754 		 02325 		  798 		  798
00754 		 02328 		  783 		  783
00754 		 02332 		  426 		  426
00754 		 02342 		  431 		  431
00754 		 02347 		  400 		  400
00754 		 02348 		  326 		  326
00754 		 02373 		  417 		  417
00754 		 02375 		  363 		  363
00754 		 02376 		  760 		  760
00754 		 02380 		  448 		  448
00754 		 02383 		  528 		  528
00754 		 02394 		  728 		  728
00754 		 02403 		  672 		  672
00754 		 02432 		  785 		  785
00754 		 02453 		  709 		  709
00754 		 02466 		  699 		  699
00754 		 02472 		  698 		  698
00754 		 02476 		  668 		  668
00754 		 02490 		  705 		  705
00754 		 02494 		  622 		  622
00754 		 02505 		  561 		  561
00754 		 02511 		  678 		  678
00754 		 02513 		  660 		  660
00754 		 02530 		  641 		  641
00754 		 02539 		  296 		  296
00754 		 02540 		  291 		  291
00754 		 02542 		  310 		  310
00754 		 02551 		  309 		  309
00754 		 02560 		  336 		  336
00754 		 02563 		  350 		  350
00754 		 02566 		  508 		  508
00754 		 02590 		  544 		  544
00754 		 02593 		  673 		  673
00754 		 02597 		  449 		  449
00754 		 02610 		  676 		  676
00754 		 02615 		  575 		  575
00754 		 02620 		  356 		  356
00754 		 05066 		  538 		  538
00754 		 05108 		  571 		  571
00754 		 05294 		  519 		  519
00754 		 05295 		  567 		  567
00754 		 05296 		  587 		  587
00754 		 50541 		  162 		  162
00754 		 50547 		  209 		  210
00754 		 50548 		  384 		  384
00754 		 50569 		  478 		  478
00754 		 50583 		  121 		  121
00754 		 99991 		  607 		  607
00754 		 99992 		  686 		  686
00754 		 99993 		  421 		  421
00754 		 99994 		  204 		  204
00770 		 00001 		  1250 		  1493
00770 		 00002 		  403 		  403
00770 		 00754 		  470 		  470
00770 		 01098 		  416 		  416
00770 		 02016 		  536 		  536
00770 		 02027 		  499 		  499
00770 		 02032 		  425 		  425
00770 		 02035 		  823 		  823
00770 		 02040 		  510 		  510
00770 		 02062 		  506 		  506
00770 		 02079 		  471 		  471
00770 		 02083 		  439 		  439
00770 		 02087 		  472 		  472
00770 		 02094 		  436 		  436
00770 		 02098 		  409 		  409
00770 		 02104 		  394 		  394
00770 		 02114 		  534 		  534
00770 		 02117 		  503 		  503
00770 		 02127 		  443 		  443
00770 		 02135 		  427 		  427
00770 		 02137 		  502 		  502
00770 		 02143 		  461 		  461
00770 		 02152 		  470 		  470
00770 		 02157 		  440 		  440
00770 		 02160 		  436 		  436
00770 		 02178 		  399 		  399
00770 		 02182 		  351 		  351
00770 		 02193 		  327 		  327
00770 		 02195 		  314 		  314
00770 		 02205 		  295 		  295
00770 		 02212 		  287 		  287
00770 		 02216 		  294 		  294
00770 		 02223 		  306 		  306
00770 		 02234 		  265 		  265
00770 		 02236 		  246 		  246
00770 		 02243 		  417 		  417
00770 		 02246 		  421 		  421
00770 		 02251 		  386 		  386
00770 		 02258 		  371 		  371
00770 		 02262 		  392 		  392
00770 		 02263 		  354 		  354
00770 		 02264 		  353 		  353
00770 		 02279 		  305 		  305
00770 		 02282 		  349 		  349
00770 		 02283 		  334 		  334
00770 		 02294 		  282 		  282
00770 		 02296 		  399 		  399
00770 		 02303 		  411 		  411
00770 		 02305 		  408 		  408
00770 		 02311 		  372 		  372
00770 		 02312 		  243 		  243
00770 		 02317 		  369 		  369
00770 		 02320 		  372 		  372
00770 		 02324 		  402 		  402
00770 		 02325 		  345 		  345
00770 		 02328 		  330 		  330
00770 		 02332 		  324 		  324
00770 		 02342 		  247 		  247
00770 		 02347 		  219 		  219
00770 		 02348 		  306 		  306
00770 		 02373 		  162 		  162
00770 		 02375 		  153 		  153
00770 		 02376 		  307 		  307
00770 		 02380 		  302 		  302
00770 		 02383 		  341 		  341
00770 		 02394 		  275 		  275
00770 		 02403 		  219 		  219
00770 		 02432 		  334 		  334
00770 		 02453 		  257 		  257
00770 		 02466 		  251 		  267
00770 		 02472 		  246 		  246
00770 		 02476 		  215 		  215
00770 		 02490 		  254 		  254
00770 		 02494 		  169 		  169
00770 		 02505 		  109 		  109
00770 		 02511 		  225 		  225
00770 		 02513 		  206 		  206
00770 		 02530 		  191 		  212
00770 		 02539 		  276 		  276
00770 		 02540 		  272 		  272
00770 		 02542 		  289 		  289
00770 		 02551 		  300 		  300
00770 		 02560 		  124 		  124
00770 		 02563 		  105 		  105
00770 		 02566 		  227 		  227
00770 		 02590 		  240 		  240
00770 		 02593 		  221 		  221
00770 		 02597 		  397 		  397
00770 		 02610 		  367 		  367
00770 		 02615 		  463 		  463
00770 		 02620 		  185 		  185
00770 		 05066 		  612 		  612
00770 		 05108 		  984 		  984
00770 		 05294 		  88 		  88
00770 		 05295 		  582 		  582
00770 		 05296 		  562 		  562
00770 		 50541 		  312 		  312
00770 		 50547 		  396 		  396
00770 		 50548 		  778 		  778
00770 		 50569 		  684 		  684
00770 		 50583 		  590 		  590
00770 		 99991 		  129 		  129
00770 		 99992 		  439 		  439
00770 		 99993 		  819 		  819
00770 		 99994 		  282 		  282
01098 		 00001 		  1590 		  1969
01098 		 00002 		  662 		  662
01098 		 00754 		  746 		  746
01098 		 00770 		  416 		  416
01098 		 02016 		  458 		  458
01098 		 02027 		  250 		  250
01098 		 02032 		  214 		  214
01098 		 02035 		  355 		  355
01098 		 02040 		  419 		  419
01098 		 02062 		  350 		  350
01098 		 02079 		  492 		  492
01098 		 02083 		  529 		  529
01098 		 02087 		  427 		  427
01098 		 02094 		  441 		  441
01098 		 02098 		  460 		  460
01098 		 02104 		  513 		  513
01098 		 02114 		  317 		  317
01098 		 02117 		  294 		  294
01098 		 02127 		  407 		  407
01098 		 02135 		  438 		  438
01098 		 02137 		  306 		  306
01098 		 02143 		  304 		  304
01098 		 02152 		  341 		  341
01098 		 02157 		  366 		  366
01098 		 02160 		  310 		  310
01098 		 02178 		  418 		  418
01098 		 02182 		  502 		  502
01098 		 02193 		  528 		  528
01098 		 02195 		  544 		  544
01098 		 02205 		  446 		  446
01098 		 02212 		  543 		  543
01098 		 02216 		  532 		  532
01098 		 02223 		  578 		  578
01098 		 02234 		  665 		  665
01098 		 02236 		  645 		  645
01098 		 02243 		  255 		  255
01098 		 02246 		  196 		  196
01098 		 02251 		  261 		  261
01098 		 02258 		  246 		  246
01098 		 02262 		  148 		  148
01098 		 02263 		  182 		  182
01098 		 02264 		  184 		  184
01098 		 02279 		  187 		  187
01098 		 02282 		  154 		  154
01098 		 02283 		  148 		  148
01098 		 02294 		  122 		  122
01098 		 02296 		  238 		  238
01098 		 02303 		  257 		  257
01098 		 02305 		  259 		  259
01098 		 02311 		  354 		  354
01098 		 02312 		  373 		  373
01098 		 02317 		  243 		  243
01098 		 02320 		  247 		  247
01098 		 02324 		  274 		  274
01098 		 02325 		  264 		  264
01098 		 02328 		  249 		  249
01098 		 02332 		  305 		  305
01098 		 02342 		  434 		  434
01098 		 02347 		  464 		  464
01098 		 02348 		  530 		  530
01098 		 02373 		  450 		  450
01098 		 02375 		  479 		  479
01098 		 02376 		  226 		  226
01098 		 02380 		  283 		  283
01098 		 02383 		  356 		  356
01098 		 02394 		  224 		  224
01098 		 02403 		  311 		  311
01098 		 02432 		  83 		  83
01098 		 02453 		  159 		  159
01098 		 02466 		  230 		  230
01098 		 02472 		  160 		  160
01098 		 02476 		  196 		  196
01098 		 02490 		  191 		  191
01098 		 02494 		  242 		  242
01098 		 02505 		  298 		  298
01098 		 02511 		  190 		  190
01098 		 02513 		  207 		  207
01098 		 02530 		  263 		  263
01098 		 02539 		  673 		  673
01098 		 02540 		  669 		  669
01098 		 02542 		  600 		  600
01098 		 02551 		  694 		  694
01098 		 02560 		  527 		  527
01098 		 02563 		  504 		  504
01098 		 02566 		  373 		  373
01098 		 02590 		  339 		  339
01098 		 02593 		  323 		  323
01098 		 02597 		  269 		  269
01098 		 02610 		  241 		  241
01098 		 02615 		  313 		  313
01098 		 02620 		  491 		  491
01098 		 05066 		  218 		  218
01098 		 05108 		  433 		  433
01098 		 05294 		  432 		  432
01098 		 05295 		  170 		  170
01098 		 05296 		  171 		  171
01098 		 50541 		  710 		  710
01098 		 50547 		  510 		  510
01098 		 50548 		  368 		  368
01098 		 50569 		  289 		  289
01098 		 50583 		  696 		  696
01098 		 99991 		  334 		  334
01098 		 99992 		  98 		  98
01098 		 99993 		  356 		  356
01098 		 99994 		  682 		  682
02016 		 00001 		  1794 		  2147
02016 		 00002 		  201 		  201
02016 		 00754 		  282 		  282
02016 		 00770 		  536 		  536
02016 		 01098 		  458 		  458
02016 		 02027 		  192 		  192
02016 		 02032 		  229 		  229
02016 		 02035 		  96 		  96
02016 		 02040 		  68 		  68
02016 		 02062 		  76 		  82
02016 		 02079 		  46 		  46
02016 		 02083 		  81 		  81
02016 		 02087 		  71 		  71
02016 		 02094 		  107 		  107
02016 		 02098 		  139 		  139
02016 		 02104 		  177 		  177
02016 		 02114 		  128 		  130
02016 		 02117 		  162 		  162
02016 		 02127 		  143 		  148
02016 		 02135 		  179 		  179
02016 		 02137 		  161 		  161
02016 		 02143 		  198 		  198
02016 		 02152 		  195 		  195
02016 		 02157 		  242 		  242
02016 		 02160 		  224 		  224
02016 		 02178 		  188 		  188
02016 		 02182 		  163 		  163
02016 		 02193 		  190 		  190
02016 		 02195 		  215 		  215
02016 		 02205 		  250 		  250
02016 		 02212 		  261 		  261
02016 		 02216 		  287 		  287
02016 		 02223 		  213 		  213
02016 		 02234 		  280 		  280
02016 		 02236 		  292 		  292
02016 		 02243 		  216 		  216
02016 		 02246 		  322 		  322
02016 		 02251 		  246 		  246
02016 		 02258 		  267 		  267
02016 		 02262 		  437 		  437
02016 		 02263 		  389 		  389
02016 		 02264 		  294 		  294
02016 		 02279 		  321 		  321
02016 		 02282 		  348 		  348
02016 		 02283 		  337 		  337
02016 		 02294 		  390 		  390
02016 		 02296 		  234 		  234
02016 		 02303 		  246 		  246
02016 		 02305 		  268 		  268
02016 		 02311 		  244 		  244
02016 		 02312 		  285 		  285
02016 		 02317 		  301 		  301
02016 		 02320 		  281 		  281
02016 		 02324 		  320 		  320
02016 		 02325 		  307 		  307
02016 		 02328 		  432 		  432
02016 		 02332 		  290 		  290
02016 		 02342 		  282 		  282
02016 		 02347 		  312 		  312
02016 		 02348 		  319 		  319
02016 		 02373 		  376 		  376
02016 		 02375 		  381 		  381
02016 		 02376 		  409 		  409
02016 		 02380 		  312 		  312
02016 		 02383 		  346 		  346
02016 		 02394 		  377 		  377
02016 		 02403 		  433 		  433
02016 		 02432 		  521 		  521
02016 		 02453 		  487 		  487
02016 		 02466 		  668 		  668
02016 		 02472 		  432 		  432
02016 		 02476 		  424 		  424
02016 		 02490 		  495 		  495
02016 		 02494 		  485 		  485
02016 		 02505 		  507 		  507
02016 		 02511 		  518 		  518
02016 		 02513 		  535 		  535
02016 		 02530 		  716 		  716
02016 		 02539 		  314 		  314
02016 		 02540 		  346 		  346
02016 		 02542 		  329 		  329
02016 		 02551 		  369 		  369
02016 		 02560 		  406 		  406
02016 		 02563 		  452 		  452
02016 		 02566 		  331 		  331
02016 		 02590 		  363 		  363
02016 		 02593 		  370 		  370
02016 		 02597 		  278 		  278
02016 		 02610 		  299 		  299
02016 		 02615 		  200 		  200
02016 		 02620 		  356 		  356
02016 		 05066 		  250 		  250
02016 		 05108 		  294 		  294
02016 		 05294 		  588 		  588
02016 		 05295 		  281 		  281
02016 		 05296 		  300 		  300
02016 		 50541 		  235 		  235
02016 		 50547 		  146 		  146
02016 		 50548 		  97 		  97
02016 		 50569 		  188 		  188
02016 		 50583 		  373 		  373
02016 		 99991 		  670 		  670
02016 		 99992 		  399 		  399
02016 		 99993 		  91 		  91
02016 		 99994 		  251 		  251
02027 		 00001 		  1589 		  1879
02027 		 00002 		  391 		  391
02027 		 00754 		  541 		  541
02027 		 00770 		  499 		  499
02027 		 01098 		  250 		  250
02027 		 02016 		  192 		  192
02027 		 02032 		  32 		  33
02027 		 02035 		  151 		  151
02027 		 02040 		  171 		  171
02027 		 02062 		  117 		  117
02027 		 02079 		  210 		  210
02027 		 02083 		  251 		  251
02027 		 02087 		  192 		  192
02027 		 02094 		  207 		  207
02027 		 02098 		  225 		  225
02027 		 02104 		  286 		  286
02027 		 02114 		  70 		  70
02027 		 02117 		  48 		  48
02027 		 02127 		  173 		  173
02027 		 02135 		  191 		  191
02027 		 02137 		  32 		  32
02027 		 02143 		  67 		  67
02027 		 02152 		  95 		  95
02027 		 02157 		  154 		  154
02027 		 02160 		  98 		  98
02027 		 02178 		  223 		  223
02027 		 02182 		  276 		  276
02027 		 02193 		  302 		  302
02027 		 02195 		  297 		  297
02027 		 02205 		  222 		  222
02027 		 02212 		  296 		  296
02027 		 02216 		  322 		  322
02027 		 02223 		  331 		  331
02027 		 02234 		  315 		  315
02027 		 02236 		  328 		  328
02027 		 02243 		  53 		  53
02027 		 02246 		  114 		  114
02027 		 02251 		  83 		  83
02027 		 02258 		  105 		  105
02027 		 02262 		  229 		  229
02027 		 02263 		  181 		  181
02027 		 02264 		  133 		  133
02027 		 02279 		  167 		  167
02027 		 02282 		  194 		  194
02027 		 02283 		  183 		  183
02027 		 02294 		  236 		  236
02027 		 02296 		  72 		  72
02027 		 02303 		  90 		  90
02027 		 02305 		  114 		  114
02027 		 02311 		  128 		  128
02027 		 02312 		  149 		  149
02027 		 02317 		  126 		  126
02027 		 02320 		  127 		  127
02027 		 02324 		  142 		  142
02027 		 02325 		  151 		  151
02027 		 02328 		  166 		  166
02027 		 02332 		  176 		  176
02027 		 02342 		  210 		  210
02027 		 02347 		  239 		  239
02027 		 02348 		  341 		  341
02027 		 02373 		  261 		  261
02027 		 02375 		  290 		  290
02027 		 02376 		  207 		  207
02027 		 02380 		  198 		  198
02027 		 02383 		  219 		  219
02027 		 02394 		  265 		  265
02027 		 02403 		  319 		  319
02027 		 02432 		  313 		  313
02027 		 02453 		  333 		  333
02027 		 02466 		  460 		  460
02027 		 02472 		  279 		  279
02027 		 02476 		  291 		  291
02027 		 02490 		  354 		  354
02027 		 02494 		  371 		  371
02027 		 02505 		  395 		  395
02027 		 02511 		  364 		  364
02027 		 02513 		  381 		  381
02027 		 02530 		  494 		  494
02027 		 02539 		  372 		  372
02027 		 02540 		  377 		  377
02027 		 02542 		  357 		  357
02027 		 02551 		  360 		  360
02027 		 02560 		  315 		  315
02027 		 02563 		  335 		  335
02027 		 02566 		  209 		  209
02027 		 02590 		  240 		  240
02027 		 02593 		  247 		  247
02027 		 02597 		  123 		  123
02027 		 02610 		  124 		  124
02027 		 02615 		  76 		  76
02027 		 02620 		  302 		  302
02027 		 05066 		  38 		  38
02027 		 05108 		  226 		  226
02027 		 05294 		  500 		  500
02027 		 05295 		  73 		  73
02027 		 05296 		  93 		  93
02027 		 50541 		  378 		  378
02027 		 50547 		  284 		  284
02027 		 50548 		  165 		  165
02027 		 50569 		  81 		  81
02027 		 50583 		  493 		  493
02027 		 99991 		  444 		  444
02027 		 99992 		  191 		  191
02027 		 99993 		  152 		  152
02027 		 99994 		  334 		  334
02032 		 00001 		  1558 		  1862
02032 		 00002 		  428 		  428
02032 		 00754 		  581 		  581
02032 		 00770 		  425 		  425
02032 		 01098 		  214 		  214
02032 		 02016 		  229 		  229
02032 		 02027 		  32 		  33
02032 		 02035 		  182 		  182
02032 		 02040 		  219 		  219
02032 		 02062 		  164 		  164
02032 		 02079 		  259 		  259
02032 		 02083 		  301 		  301
02032 		 02087 		  241 		  241
02032 		 02094 		  256 		  256
02032 		 02098 		  276 		  276
02032 		 02104 		  305 		  305
02032 		 02114 		  118 		  118
02032 		 02117 		  93 		  93
02032 		 02127 		  223 		  223
02032 		 02135 		  184 		  184
02032 		 02137 		  78 		  78
02032 		 02143 		  96 		  96
02032 		 02152 		  124 		  124
02032 		 02157 		  157 		  157
02032 		 02160 		  102 		  102
02032 		 02178 		  202 		  202
02032 		 02182 		  293 		  293
02032 		 02193 		  330 		  330
02032 		 02195 		  323 		  323
02032 		 02205 		  225 		  225
02032 		 02212 		  321 		  321
02032 		 02216 		  309 		  309
02032 		 02223 		  357 		  357
02032 		 02234 		  344 		  344
02032 		 02236 		  355 		  355
02032 		 02243 		  19 		  19
02032 		 02246 		  75 		  75
02032 		 02251 		  43 		  45
02032 		 02258 		  63 		  63
02032 		 02262 		  194 		  194
02032 		 02263 		  146 		  146
02032 		 02264 		  90 		  90
02032 		 02279 		  125 		  129
02032 		 02282 		  152 		  155
02032 		 02283 		  141 		  147
02032 		 02294 		  193 		  197
02032 		 02296 		  32 		  35
02032 		 02303 		  51 		  53
02032 		 02305 		  74 		  74
02032 		 02311 		  132 		  132
02032 		 02312 		  154 		  154
02032 		 02317 		  83 		  83
02032 		 02320 		  84 		  84
02032 		 02324 		  101 		  101
02032 		 02325 		  110 		  110
02032 		 02328 		  125 		  125
02032 		 02332 		  134 		  134
02032 		 02342 		  214 		  214
02032 		 02347 		  243 		  243
02032 		 02348 		  308 		  308
02032 		 02373 		  230 		  230
02032 		 02375 		  259 		  259
02032 		 02376 		  166 		  173
02032 		 02380 		  155 		  155
02032 		 02383 		  173 		  173
02032 		 02394 		  219 		  219
02032 		 02403 		  276 		  276
02032 		 02432 		  279 		  279
02032 		 02453 		  289 		  289
02032 		 02466 		  363 		  363
02032 		 02472 		  235 		  235
02032 		 02476 		  248 		  248
02032 		 02490 		  310 		  310
02032 		 02494 		  327 		  327
02032 		 02505 		  350 		  350
02032 		 02511 		  320 		  320
02032 		 02513 		  337 		  337
02032 		 02530 		  381 		  381
02032 		 02539 		  339 		  339
02032 		 02540 		  344 		  344
02032 		 02542 		  324 		  324
02032 		 02551 		  328 		  328
02032 		 02560 		  284 		  284
02032 		 02563 		  303 		  303
02032 		 02566 		  179 		  179
02032 		 02590 		  209 		  209
02032 		 02593 		  288 		  288
02032 		 02597 		  67 		  67
02032 		 02610 		  81 		  81
02032 		 02615 		  105 		  105
02032 		 02620 		  270 		  270
02032 		 05066 		  52 		  52
02032 		 05108 		  272 		  272
02032 		 05294 		  456 		  456
02032 		 05295 		  40 		  40
02032 		 05296 		  59 		  59
02032 		 50541 		  392 		  392
02032 		 50547 		  302 		  302
02032 		 50548 		  203 		  203
02032 		 50569 		  125 		  125
02032 		 50583 		  532 		  532
02032 		 99991 		  400 		  400
02032 		 99992 		  156 		  156
02032 		 99993 		  183 		  183
02032 		 99994 		  359 		  359
02035 		 00001 		  1805 		  2160
02035 		 00002 		  300 		  300
02035 		 00754 		  429 		  429
02035 		 00770 		  823 		  823
02035 		 01098 		  355 		  355
02035 		 02016 		  96 		  96
02035 		 02027 		  151 		  151
02035 		 02032 		  182 		  182
02035 		 02040 		  68 		  68
02035 		 02062 		  30 		  31
02035 		 02079 		  103 		  103
